#{"t_start": 1634011350.8532403, "env_id": null}
r,l,t
-0.1,1,244.346345
-0.1,2,244.346373
-0.1,1,244.346399
-0.1,2,244.346424
-0.1,3,247.508737
-0.1,1,247.508855
-0.1,2,247.508892
-0.1,1,247.508922
-0.1,3,247.50895
-0.1,2,250.672262
-0.1,6,250.672374
-0.1,3,250.672408
-0.1,1,250.672433
-0.1,2,250.672457
-0.1,2,253.005696
-0.1,1,253.005797
-0.1,1,253.005828
-0.1,1,253.005853
-0.1,2,256.233392
-0.1,1,256.233477
0.0,4,256.233501
-0.1,2,256.23352
-0.1,7,256.233537
-0.1,1,256.233553
-0.1,1,256.233569
-0.1,5,259.150018
-0.1,1,259.150111
-0.1,1,259.150136
-0.1,1,261.460415
-0.1,5,261.460505
-0.1,1,261.46053
-0.1,2,261.460556
-0.1,1,263.877317
0.0,3,263.877424
-0.1,6,263.877455
-0.1,1,266.764513
-0.1,5,266.764621
-0.1,4,266.764652
-0.1,1,266.764676
-0.1,5,269.934328
-0.1,1,269.934437
-0.1,1,269.934469
0.0,3,269.934493
-0.1,2,269.934517
0.0,6,272.409911
-0.1,4,272.410017
-0.1,5,272.410053
-0.1,1,272.410079
-0.1,1,274.910328
-0.1,1,274.910418
-0.1,2,274.910441
-0.1,3,274.910465
-0.1,1,274.910488
-0.1,4,277.465103
-0.1,3,277.465222
0.0,6,277.465369
-0.1,11,277.465397
-0.1,3,277.465422
-0.1,1,277.465446
-0.1,1,279.899682
-0.1,2,279.899792
-0.1,1,279.899823
-0.1,1,279.899848
-0.1,1,279.899871
0.0,2,279.899895
-0.1,1,279.899919
-0.1,1,283.045564
-0.1,1,283.045727
-0.1,1,283.04579
-0.1,3,283.045818
-0.1,1,283.045835
-0.1,1,283.04585
0.0,6,285.340858
-0.1,1,285.340962
-0.1,2,285.340998
-0.1,1,285.341023
-0.1,1,285.341047
-0.1,2,288.417736
0.0,3,288.41784
-0.1,1,288.417947
-0.1,1,288.417976
-0.1,5,288.418
-0.1,4,288.418023
-0.1,1,290.91766
-0.1,7,290.917787
-0.1,1,290.917823
-0.1,2,293.433548
-0.1,4,293.433908
0.0,4,296.506091
-0.1,3,296.506206
-0.1,3,296.506242
-0.1,1,296.506269
-0.1,5,296.506295
-0.1,2,296.506321
-0.1,5,299.287536
-0.1,1,299.287658
-0.1,4,299.287693
-0.1,1,299.287721
-0.1,1,302.47191
-0.1,1,302.472
-0.1,1,302.472035
-0.1,1,302.472055
-0.1,2,302.472073
-0.1,1,305.537755
-0.1,3,305.537899
0.0,5,305.537946
0.0,5,305.537985
-0.1,1,305.53802
-0.1,1,305.538057
-0.1,3,305.538093
-0.1,1,307.843115
-0.1,1,307.843197
-0.1,1,307.843221
-0.1,1,307.843239
-0.1,2,307.843255
-0.1,1,310.418353
-0.1,3,313.402802
-0.1,3,313.402918
-0.1,2,313.403043
-0.1,2,313.403072
-0.1,3,316.609885
-0.1,8,316.609998
-0.1,5,316.610045
-0.1,1,316.61008
-0.1,2,319.796182
-0.1,4,319.796296
-0.1,2,319.79633
-0.1,1,319.796357
-0.1,1,319.796382
-0.1,12,319.796406
